"","year","First_Name","Last_Name","forum","race"
"1",2017,"Jonathon","Cai","BkbY4psgg","asian"
"2",2017,"Richard","Shin","BkbY4psgg","asian"
"3",2017,"Dawn","Song","BkbY4psgg","asian"
"4",2017,"Johannes","Ballé","rJxdQ3jeg","asian"
"5",2017,"Valero","Laparra","rJxdQ3jeg","hispanic"
"6",2017,"Eero","P. Simoncelli","rJxdQ3jeg","hispanic"
"7",2017,"Sachin","Ravi","rJY0-Kcll","asian"
"8",2017,"Hugo","Larochelle","rJY0-Kcll","hispanic"
"9",2017,"Antoine","Bordes","S1Bb3D5gg","hispanic"
"10",2017,"Y-Lan","Boureau","S1Bb3D5gg","black"
"11",2017,"Jason","Weston","S1Bb3D5gg","white"
"12",2017,"Martin","Arjovsky","Hk4_qw5xe","white"
"13",2017,"Leon","Bottou","Hk4_qw5xe","white"
"14",2017,"Max","Jaderberg","SJ6yPD5xg","white"
"15",2017,"Volodymyr","Mnih","SJ6yPD5xg","black"
"16",2017,"Wojciech","Marian Czarnecki","SJ6yPD5xg","hispanic"
"17",2017,"Tom","Schaul","SJ6yPD5xg","white"
"18",2017,"Joel","Z Leibo","SJ6yPD5xg","hispanic"
"19",2017,"David","Silver","SJ6yPD5xg","white"
"20",2017,"Koray","Kavukcuoglu","SJ6yPD5xg","asian"
"21",2017,"Angeliki","Lazaridou","Hk8N3Sclg","asian"
"22",2017,"Alexander","Peysakhovich","Hk8N3Sclg","asian"
"23",2017,"Marco","Baroni","Hk8N3Sclg","hispanic"
"24",2017,"Chiyuan","Zhang","Sy8gdB9xx","asian"
"25",2017,"Samy","Bengio","Sy8gdB9xx","asian"
"26",2017,"Moritz","Hardt","Sy8gdB9xx","black"
"27",2017,"Benjamin","Recht","Sy8gdB9xx","white"
"28",2017,"Oriol","Vinyals","Sy8gdB9xx","black"
"29",2017,"Barret","Zoph","r1Ue8Hcxg","white"
"30",2017,"Quoc","Le","r1Ue8Hcxg","asian"
"31",2017,"Shixiang","Gu","SJ3rcZcxl","asian"
"32",2017,"Timothy","Lillicrap","SJ3rcZcxl","white"
"33",2017,"Zoubin","Ghahramani","SJ3rcZcxl","asian"
"34",2017,"Richard","E. Turner","SJ3rcZcxl","white"
"35",2017,"Sergey","Levine","SJ3rcZcxl","white"
"36",2017,"Alexey","Dosovitskiy","rJLS7qKel","white"
"37",2017,"Vladlen","Koltun","rJLS7qKel","white"
"38",2017,"Nitish","Shirish Keskar","H1oyRlYgg","asian"
"39",2017,"Dheevatsa","Mudigere","H1oyRlYgg","black"
