"","First_Name","Last_Name","year","forum","race"
"1","Johannes","Ballé",2017,"rJxdQ3jeg","asian"
"2","Johannes","Ballé",2018,"rkcQFMZRb","asian"
"3","Johannes","Ballé",2019,"S1zz2i0cY7","asian"
"4","Sachin","Ravi",2017,"rJY0-Kcll","asian"
"5","Sachin","Ravi",2018,"HJcSzz-CZ","asian"
"6","Sachin","Ravi",2019,"rkgpy3C5tX","asian"
"7","Angeliki","Lazaridou",2017,"Hk8N3Sclg","asian"
"8","Angeliki","Lazaridou",2018,"HJGv1Z-AW","asian"
"9","Angeliki","Lazaridou",2018,"Hk6WhagRW","asian"
"10","Angeliki","Lazaridou",2018,"rknt2Be0-","asian"
"11","Angeliki","Lazaridou",2019,"B1lG42C9Km","asian"
"12","Angeliki","Lazaridou",2019,"HJG0ojCcFm","asian"
"43","Shixiang","Gu",2017,"SJ3rcZcxl","asian"
"44","Shixiang","Gu",2017,"rkE3y85ee","asian"
"45","Shixiang","Gu",2017,"BJ8fyHceg","asian"
"46","Shixiang","Gu",2018,"S1vuO-bCW","asian"
"47","Shixiang","Gu",2018,"rJssAZ-0-","asian"
"48","Shixiang","Gu",2019,"HkG3e205K7","asian"
"49","Shixiang","Gu",2019,"H1emus0qF7","asian"
"71","Nitish","Shirish Keskar",2017,"H1oyRlYgg","asian"
"72","Nitish","Shirish Keskar",2018,"SkYMnLxRW","asian"
"73","Nitish","Shirish Keskar",2018,"SyyGPP0TZ","asian"
"74","Nitish","Shirish Keskar",2019,"B1lfHhR9tm","asian"
"75","Nitish","Shirish Keskar",2019,"r14EOsCqKX","asian"
"76","Nitish","Shirish Keskar",2019,"Syl7OsRqY7","asian"
"77","Nitish","Shirish Keskar",2019,"BJxOHs0cKm","asian"
"127","Nicolas","Papernot",2017,"HkwoSDPgg","hispanic"
"128","Nicolas","Papernot",2018,"rkZvSe-RZ","hispanic"
"129","Nicolas","Papernot",2018,"rkZB1XbRZ","hispanic"
"130","Nicolas","Papernot",2019,"r1xyx3R9tQ","hispanic"
"135","Alex","X. Lee",2017,"r1YNw6sxg","hispanic"
"136","Alex","X. Lee",2018,"HJrJpzZRZ","hispanic"
"137","Alex","X. Lee",2019,"HyEl3o05Fm","hispanic"
"138","George","Philipp",2017,"BJK3Xasel","white"
"139","George","Philipp",2018,"HkpYwMZRb","white"
"140","George","Philipp",2019,"BkeK-nRcFX","white"
"141","Jimmy","Ba",2017,"SkkTMpjex","asian"
"142","Jimmy","Ba",2018,"rJNpifWAb","asian"
"143","Jimmy","Ba",2018,"HyMTkQZAb","asian"
"144","Jimmy","Ba",2018,"S1sqHMZCb","asian"
"145","Jimmy","Ba",2019,"HyM8V2A9Km","asian"
"146","Jimmy","Ba",2019,"HJgd1nAqFX","asian"
